positions,jockey,horse,bar,weight,time,margin,race_number
9,Chris Dell,Sir Albert,5,53.0,1.37.51,5.91L,8
10,Masa Hashizume,Hi Yo Sass Bomb,10,54.5,1.38.04,8.97L,8
11,Samantha Collett,Spencer,3,53.0,1.38.44,11.32L,8
12,Kelly Myers,Our Echo,7,53.0,1.39.57,17.88L,8
2,Mereana Hudson,Connello,4,58.0,1.26.46,0.19L,9
3,Ryan Elliot,Complex,1,60.0,1.26.47,0.27L,9
4,Craig Grylls,Old Bill Bone,10,57.0,1.26.56,0.76L,9
5,Rory Hutchings,Belles Fate,9,56.5,1.26.57,0.83L,9
6,Daniel Stackhouse,Anderson Bridge,8,58.0,1.26.66,1.36L,9
7,Kelly Myers,Airpark Hustler,7,58.5,1.26.76,1.92L,9
8,Joe Doyle,Belle Tribute,6,57.0,1.26.77,1.96L,9
9,Jim Chung (A),Thorax,2,60.0,1.26.96,3.06L,9
10,Jonathan Riddell,Riverplate,5,57.5,1.27.33,5.17L,9
